what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.1.300.v200904132230,"org.eclipse.wst.common.modulecore",1265848160537
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.0.v200906080535,"org.eclipse.wst.common.project.facet.core",1265848160537
started,bundle,org.eclipse.wst.jsdt.core,1.0.200.v200905201910,"org.eclipse.wst.jsdt.core",1265848160537
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1265848160537
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1265848160537
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1265848160537
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1265848160537
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1265848160537
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1265848160537
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1265848160537
os,sysinfo,,,"win32",1265848160537
arch,sysinfo,,,"x86",1265848160537
ws,sysinfo,,,"win32",1265848160537
locale,sysinfo,,,"en_US",1265848160537
processors,sysinfo,,,"2",1265848160537
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1265848160537
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1265848160537
java.specification.name,sysinfo,,,"Java Platform API Specification",1265848160537
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1265848160537
java.specification.version,sysinfo,,,"1.6",1265848160537
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1265848160537
java.version,sysinfo,,,"1.6.0_16",1265848160537
java.vm.info,sysinfo,,,"mixed mode",1265848160537
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1265848160537
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1265848160537
